Tr?m,T?a d?
ANDINH,"10.311028, 106.428417"
ANLACTAY,"9.833361, 105.997167"
ANNINH,"9.871861, 105.123694"
ANTHUAN,"9.97638888888889,106.60502222222222"
BENLUC,"10.638366, 106.475430"
BENTRAI,"9.880838888888889,106.5289"
BINHDAI,"10.20401944, 106.70562222"
CAIHOP,"10.062750, 106.249944"
CAUNOI,"10.477280555555556,106.58334444444444"
CAUQUAN,"9.75845,106.11414166666664"
DAINGAI,"9.734863888888889,106.0744722222222"
GIONGTROM,"10.138889,106.400003"
GOQUAO,"9.723144444444443, 105.27886111111113"
HOABINH,"10.290253, 106.592389"
HUNGMY,"9.883374, 106.447750"
HUONGMY,"9.980555555555556,106.3888888888889"
KHANHTHANHTAN,"10.091667,106.265278"
LANGTHE,"9.996667, 106.307139"
LOCTHUAN,"10.243055555555555, 106.6"
LONGPHU,"9.632258, 106.137108"
MYHOA,"10.222313, 106.348934"
SOCTRANG,"9.597708, 106.017856"
TANAN,"10.539013, 106.425759"
THANHPHU,"9.503667, 105.851417"
THOIBINH,"9.346822, 105.088594"
TRAKHA,"9.614763888888888, 106.24315833333334"
TRANDE,"9.528211111111112, 106.20145555555555"
TRAVINH,"9.975806, 106.354472"
TUYENNHON,"10.658176, 106.191730"
VAMKENH,"10.273983, 106.737017"
XEORO,"9.883454,106.4475831"
XUANKHANH,"10.790805555555556, 106.40295277777778"
