column,dtype,missing_rows,missing_pct,non_missing_rows
era5_imputed_from_station,float64,27434,100.0,0
salinity_min,float64,20401,74.36,7033
salinity_max,float64,17314,63.11,10120
target_salinity_max,float64,17314,63.11,10120
salinity_qc_invalid,float64,15561,56.72,11873
source_type,object,15561,56.72,11873
salinity_input,float64,14199,51.76,13235
s2_B11_mean,float64,3332,12.15,24102
s2_B11_stdDev,float64,3332,12.15,24102
s2_B12_mean,float64,3332,12.15,24102
s2_B12_stdDev,float64,3332,12.15,24102
s2_B2_mean,float64,3332,12.15,24102
s2_B2_stdDev,float64,3332,12.15,24102
s2_B3_mean,float64,3332,12.15,24102
s2_B3_stdDev,float64,3332,12.15,24102
s2_B4_mean,float64,3332,12.15,24102
s2_B4_stdDev,float64,3332,12.15,24102
s2_B8_mean,float64,3332,12.15,24102
s2_B8_stdDev,float64,3332,12.15,24102
s2_BGRratio_mean,float64,3332,12.15,24102
s2_BGRratio_stdDev,float64,3332,12.15,24102
s2_BI_mean,float64,3332,12.15,24102
s2_BI_stdDev,float64,3332,12.15,24102
s2_EVI_mean,float64,3332,12.15,24102
s2_EVI_stdDev,float64,3332,12.15,24102
s2_MNDWI_mean,float64,3332,12.15,24102
s2_MNDWI_stdDev,float64,3332,12.15,24102
s2_NDVI_mean,float64,3332,12.15,24102
s2_NDVI_stdDev,float64,3332,12.15,24102
s2_NDWI_mean,float64,3332,12.15,24102
s2_NDWI_stdDev,float64,3332,12.15,24102
s2_RVI_mean,float64,3332,12.15,24102
s2_RVI_stdDev,float64,3332,12.15,24102
s2_R_1_mean,float64,3332,12.15,24102
s2_R_1_stdDev,float64,3332,12.15,24102
s2_R_2_mean,float64,3332,12.15,24102
s2_R_2_stdDev,float64,3332,12.15,24102
s2_R_3_mean,float64,3332,12.15,24102
s2_R_3_stdDev,float64,3332,12.15,24102
s2_R_4_mean,float64,3332,12.15,24102
s2_R_4_stdDev,float64,3332,12.15,24102
s2_Red_SWIR1_ratio_mean,float64,3332,12.15,24102
s2_Red_SWIR1_ratio_stdDev,float64,3332,12.15,24102
s2_SAVI_mean,float64,3332,12.15,24102
s2_SAVI_stdDev,float64,3332,12.15,24102
s2_SI_1_mean,float64,3332,12.15,24102
s2_SI_1_stdDev,float64,3332,12.15,24102
s2_SI_2_mean,float64,3332,12.15,24102
s2_SI_2_stdDev,float64,3332,12.15,24102
s2_SI_3_mean,float64,3332,12.15,24102
s2_SI_3_stdDev,float64,3332,12.15,24102
s2_SWIR1_mean,float64,3332,12.15,24102
s2_SWIR1_stdDev,float64,3332,12.15,24102
s2_SWIR2_mean,float64,3332,12.15,24102
s2_SWIR2_stdDev,float64,3332,12.15,24102
date,datetime64[ns],0,0.0,27434
day,int64,0,0.0,27434
day_of_year,int64,0,0.0,27434
day_of_year_cos,float64,0,0.0,27434
day_of_year_sin,float64,0,0.0,27434
days_since_salinity_observed,int64,0,0.0,27434
dewpoint_temperature_2m_c,float64,0,0.0,27434
era5_buffer_m,int64,0,0.0,27434
lat,float64,0,0.0,27434
lon,float64,0,0.0,27434
month,int64,0,0.0,27434
potential_evaporation_mm,float64,0,0.0,27434
potential_evaporation_mm_signed,float64,0,0.0,27434
precipitation_mm,float64,0,0.0,27434
runoff_mm,float64,0,0.0,27434
s2_B11_count,int64,0,0.0,27434
s2_B12_count,int64,0,0.0,27434
s2_B2_count,int64,0,0.0,27434
s2_B3_count,int64,0,0.0,27434
s2_B4_count,int64,0,0.0,27434
s2_B8_count,int64,0,0.0,27434
s2_BGRratio_count,int64,0,0.0,27434
s2_BI_count,int64,0,0.0,27434
s2_EVI_count,int64,0,0.0,27434
s2_MNDWI_count,int64,0,0.0,27434
s2_NDVI_count,int64,0,0.0,27434
s2_NDWI_count,int64,0,0.0,27434
s2_RVI_count,int64,0,0.0,27434
s2_R_1_count,int64,0,0.0,27434
s2_R_2_count,int64,0,0.0,27434
s2_R_3_count,int64,0,0.0,27434
s2_R_4_count,int64,0,0.0,27434
s2_Red_SWIR1_ratio_count,int64,0,0.0,27434
s2_SAVI_count,int64,0,0.0,27434
s2_SI_1_count,int64,0,0.0,27434
s2_SI_2_count,int64,0,0.0,27434
s2_SI_3_count,int64,0,0.0,27434
s2_SWIR1_count,int64,0,0.0,27434
s2_SWIR2_count,int64,0,0.0,27434
s2_month_available,int64,0,0.0,27434
s2_s2_valid_image_count,int64,0,0.0,27434
salinity_input_imputed,int64,0,0.0,27434
salinity_observed,int64,0,0.0,27434
soil_moisture_layer1_vol,float64,0,0.0,27434
solar_radiation_mj_m2,float64,0,0.0,27434
station_id,object,0,0.0,27434
surface_pressure_hpa,float64,0,0.0,27434
temperature_2m_c,float64,0,0.0,27434
temperature_2m_max_c,float64,0,0.0,27434
temperature_2m_min_c,float64,0,0.0,27434
wind_speed_10m_ms,float64,0,0.0,27434
wind_u_10m_ms,float64,0,0.0,27434
wind_v_10m_ms,float64,0,0.0,27434
year,int64,0,0.0,27434
