metric,value
station_count,22
daily_grid_rows,27434
date_start,2020-01-01
date_end,2023-05-31
salinity_raw_rows,11873
salinity_observed_rows_after_qc,10120
salinity_observed_pct_of_grid,36.89
salinity_qc_invalid_rows,1
short_gap_salinity_filled_rows,3115
era5_rows,27434
era5_station_count,22
era5_rows_with_any_missing,0
era5_buffer_m_values,12000
s2_rows,902
s2_station_count,22
s2_target_month_count,41
s2_target_month_start,2020-01
s2_target_month_end,2023-05
s2_missing_target_months,
s2_available_daily_rows,27434
s2_missing_daily_rows,0
