station_id,date,lon_first,lat_first,salinity_max_mean,pred_ridge_gl,residual_gl
BENLUC,2023-03-05,106.47543,10.638366,1.3285714285714287,2.626151292667047,-1.2975798640956184
CAIHOP,2023-03-05,106.249944,10.06275,2.525,2.289626673426616,0.23537332657338395
CAUNOI,2023-03-05,106.583344,10.477281,10.467857142857145,3.7771891956230763,6.690667947234068
CAUQUAN,2023-03-05,106.114142,9.75845,6.235714285714286,6.232361884951646,0.0033524007626395402
DAINGAI,2023-03-05,106.074472,9.734864,5.064285714285714,6.086629515472106,-1.0223438011863921
HUNGMY,2023-03-05,106.44775,9.883374,10.342857142857145,6.23566166192522,4.107195480931925
LANGTHE,2023-03-05,106.307139,9.996667,3.857142857142857,3.1300014595255066,0.7271413976173506
TANAN,2023-03-05,106.425759,10.539013,0.4892857142857143,2.7431038865708035,-2.253818172285089
TRAKHA,2023-03-05,106.243158,9.614764,11.435714285714285,5.728403920888978,5.707310364825307
TRANDE,2023-03-05,106.201456,9.528211,16.57857142857143,8.39127126792437,8.187300160647059
TRAVINH,2023-03-05,106.354472,9.975806,5.889285714285714,6.135629696597784,-0.24634398231206944
TUYENNHON,2023-03-05,106.19173,10.658176,0.0,1.6408241890941353,-1.6408241890941353
