split,model,n,r2_log,rmse_gl,mae_gl,bias_gl
fold_1,ridge_reproducible,63,0.5458116397242134,6.002295960906743,3.050913348580574,-0.08895332160344731
fold_1,ridge_residual_idw_reproducible,63,0.5944592661794446,5.577088691000438,2.656369024263679,-0.41554378831653604
fold_2,ridge_reproducible,62,0.47644705257169784,4.942536026881334,3.781479477442037,-1.252584328475974
fold_2,ridge_residual_idw_reproducible,62,0.5214427835115488,4.689976248718804,3.7187336463340523,-0.783374890387292
fold_3,ridge_reproducible,62,0.10981030287915694,4.363780844674585,3.6198186054240833,-3.016427967232452
fold_3,ridge_residual_idw_reproducible,62,0.32069368802964415,3.7457505419116854,3.0587871208055915,-2.0587652298226677
fold_4,ridge_reproducible,62,-0.3941714558741234,6.603463827311915,5.511929504441324,-0.4183464270190048
fold_4,ridge_residual_idw_reproducible,62,-0.3551784790692005,5.705153922282677,4.908643458849794,-0.0600676041204894
fold_5,ridge_reproducible,62,0.2658491685529347,7.004680599806856,3.621795477740911,0.3038351481232892
fold_5,ridge_residual_idw_reproducible,62,0.6239667204065436,6.173521950711109,2.6982512309390922,-0.13095291424604874
