split,model,n_train,n_test,n_holdout_stations,holdout_stations,n,r2_log,rmse_gl,mae_gl,bias_gl
fold_1,ridge,664,222,4,"GOQUAO,LANGTHE,TRAVINH,TUYENNHON",222,0.38726992738375465,2.538436509074654,1.8734292759359081,1.1674443441692492
fold_1,idw,664,222,4,"GOQUAO,LANGTHE,TRAVINH,TUYENNHON",222,-0.057799206028888994,2.7504165196312553,1.8138003625066659,1.5779253141514205
fold_1,ridge_residual_idw,664,222,4,"GOQUAO,LANGTHE,TRAVINH,TUYENNHON",222,0.618073415503616,1.8563312657636206,1.1591762411039401,0.9073453106534131
fold_2,ridge,664,222,4,"ANNINH,CAIHOP,TANAN,TRANDE",222,0.6390314884934304,4.240601593480551,2.993897725278905,-1.4236052624160571
fold_2,idw,664,222,4,"ANNINH,CAIHOP,TANAN,TRANDE",222,0.46682122231714585,5.088523654216448,4.06981946722746,-1.3664568091965417
fold_2,ridge_residual_idw,664,222,4,"ANNINH,CAIHOP,TANAN,TRANDE",222,0.7647641935228034,3.2996986924593803,2.389942331866015,-0.9113295577965465
fold_3,ridge,661,225,7,"ANDINH,GIONGTROM,HUNGMY,MYHOA,THANHPHU,THOIBINH,TRAKHA",225,0.04210439751527195,6.8174964234708195,4.176618017799982,-2.8195179741820646
fold_3,idw,661,225,7,"ANDINH,GIONGTROM,HUNGMY,MYHOA,THANHPHU,THOIBINH,TRAKHA",225,0.33687442787148825,5.531400011057771,3.9288571402518575,-2.1205989976089583
fold_3,ridge_residual_idw,661,225,7,"ANDINH,GIONGTROM,HUNGMY,MYHOA,THANHPHU,THOIBINH,TRAKHA",225,0.08959768730500428,6.074792181448845,3.5449589050490724,-2.6694094872771177
fold_4,ridge,661,225,6,"ANLACTAY,CAUNOI,DAINGAI,LONGPHU,SOCTRANG,XEORO",225,-0.30882863308231734,6.775513282048219,5.373525245185234,-0.17028647501047064
fold_4,idw,661,225,6,"ANLACTAY,CAUNOI,DAINGAI,LONGPHU,SOCTRANG,XEORO",225,-0.5614773537095579,6.430017423992459,5.198598386650034,-0.47767318640685746
fold_4,ridge_residual_idw,661,225,6,"ANLACTAY,CAUNOI,DAINGAI,LONGPHU,SOCTRANG,XEORO",225,-0.2381057540929028,5.80745329339158,4.692311745268928,-0.6183077778485307
fold_5,ridge,642,223,9,"ANTHUAN,BENLUC,BENTRAI,CAUQUAN,HOABINH,HUONGMY,KHANHTHANHTAN,LOCTHUAN,XUANKHANH",223,0.3827801328826381,7.986892476729875,3.8983321631910397,-0.1903383904739858
fold_5,idw,642,223,9,"ANTHUAN,BENLUC,BENTRAI,CAUQUAN,HOABINH,HUONGMY,KHANHTHANHTAN,LOCTHUAN,XUANKHANH",223,0.7055268303738844,4.521653165988115,2.5269946384174853,-0.6990466920957693
fold_5,ridge_residual_idw,642,223,9,"ANTHUAN,BENLUC,BENTRAI,CAUQUAN,HOABINH,HUONGMY,KHANHTHANHTAN,LOCTHUAN,XUANKHANH",223,-0.015228116809719028,7.302363884360105,3.4846255025097426,-0.8187706189046886
