epoch,train_loss,val_rmse,val_mae,val_r2
1,0.33871480907712664,1.3283839225769043,0.7367091774940491,0.9538569450378418
2,0.3113705554178783,1.3217036724090576,0.7548031806945801,0.9543198943138123
3,0.3088287966591971,1.3072277307510376,0.7278265357017517,0.9553149938583374
4,0.2917308632816587,1.2632663249969482,0.7108040452003479,0.9582699537277222
5,0.26971550115517207,1.2611808776855469,0.7051406502723694,0.9584076404571533
6,0.25886754393577577,1.2579597234725952,0.7406247854232788,0.9586198329925537
7,0.2443775794335774,1.2624664306640625,0.7278428673744202,0.9583227634429932
8,0.2374963083437511,1.227339744567871,0.7114943861961365,0.9606097340583801
9,0.23377075621059962,1.2253509759902954,0.7043338418006897,0.9607372879981995
10,0.23349290788173677,1.224341630935669,0.7093780040740967,0.9608019590377808
11,0.22074357782091414,1.2432528734207153,0.7253012657165527,0.9595816731452942
12,0.21761008799076081,1.212625503540039,0.6977420449256897,0.9615485668182373
13,0.2136464557477406,1.2245076894760132,0.7054275870323181,0.9607913494110107
14,0.21185454598494938,1.2065225839614868,0.6757033467292786,0.9619346261024475
15,0.20217029580048151,1.2087856531143188,0.7039847373962402,0.9617916941642761
16,0.1990299437727247,1.2406100034713745,0.7312451004981995,0.9597533345222473
17,0.19126891089337214,1.2143856287002563,0.7086364030838013,0.9614368677139282
18,0.19312170509781157,1.2178115844726562,0.7325040102005005,0.9612189531326294
19,0.18019767446177345,1.2487502098083496,0.7302757501602173,0.9592234492301941
20,0.17813361499990735,1.2452961206436157,0.7436200380325317,0.9594487547874451
21,0.17449058592319489,1.251760482788086,0.7425984144210815,0.9590266346931458
22,0.17233920586960658,1.2380660772323608,0.7289370894432068,0.9599182605743408
